Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1994,1994,tonnes,602653.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2018,2018,tonnes,589950.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2013,2013,tonnes,586864.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2018,2018,tonnes,584926.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,1999,1999,tonnes,574750.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1999,1999,tonnes,571951.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1995,1995,tonnes,570677.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2019,2019,tonnes,568438.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2014,2014,tonnes,565028.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2021,2021,tonnes,546759.19,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2016,2016,tonnes,541866.84,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1991,1991,tonnes,533147.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2002,2002,tonnes,531412.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2020,2020,tonnes,530865.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2000,2000,tonnes,530580.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2001,2001,tonnes,529010.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1987,1987,tonnes,523171.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2015,2015,tonnes,523111.7,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2014,2014,tonnes,521477.8,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2003,2003,tonnes,521260.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1989,1989,tonnes,515331.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2017,2017,tonnes,511982.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1993,1993,tonnes,510725.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2015,2015,tonnes,502362.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2006,2006,tonnes,501838.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,1998,1998,tonnes,494290.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,2002,2002,tonnes,491923.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2003,2003,tonnes,487112.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1986,1986,tonnes,486883.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1990,1990,tonnes,481782.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2019,2019,tonnes,480446.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2005,2005,tonnes,477946.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2017,2017,tonnes,470279.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2016,2016,tonnes,461183.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2011,2011,tonnes,460710.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2018,2018,tonnes,455658.16,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,1996,1996,tonnes,454149.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2016,2016,tonnes,451112.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1988,1988,tonnes,448724.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2012,2012,tonnes,447133.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2015,2015,tonnes,445724.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2000,2000,tonnes,445610.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1992,1992,tonnes,445313.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2014,2014,tonnes,435087.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2005,2005,tonnes,432912.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2013,2013,tonnes,415798.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2005,2005,tonnes,415663.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,1997,1997,tonnes,412605.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2007,2007,tonnes,410067.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2008,2008,tonnes,409435.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2020,2020,tonnes,406491.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2010,2010,tonnes,403468.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2009,2009,tonnes,403038.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2021,2021,tonnes,402252.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2014,2014,tonnes,402065.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2009,2009,tonnes,398564.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2006,2006,tonnes,395264.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2021,2021,tonnes,390575.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2018,2018,tonnes,387253.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2019,2019,tonnes,386315.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2012,2012,tonnes,386225.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2021,2021,tonnes,384269.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2015,2015,tonnes,381804.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2020,2020,tonnes,381737.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2010,2010,tonnes,381186.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2011,2011,tonnes,379854.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1998,1998,tonnes,378810.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2008,2008,tonnes,378112.0,T,Unofficial figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2012,2012,tonnes,373577.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2013,2013,tonnes,373395.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1986,1986,tonnes,371798.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2010,2010,tonnes,368166.0,A,Official figure
TCL,Crops and livestock products,246,Finland,5610,Import Quantity,0111,Wheat,1981,1981,tonnes,360699.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2017,2017,tonnes,359345.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2004,2004,tonnes,358630.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2001,2001,tonnes,358552.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2016,2016,tonnes,357216.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2008,2008,tonnes,348296.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2003,2003,tonnes,346072.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2019,2019,tonnes,344186.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2002,2002,tonnes,343180.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2010,2010,tonnes,342623.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2009,2009,tonnes,342246.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2002,2002,tonnes,340584.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2020,2020,tonnes,340021.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1993,1993,tonnes,339005.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2007,2007,tonnes,338649.0,A,Official figure
TCL,Crops and livestock products,246,Finland,5610,Import Quantity,0111,Wheat,1963,1963,tonnes,337800.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,1998,1998,tonnes,337447.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2009,2009,tonnes,336196.0,T,Unofficial figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2006,2006,tonnes,335308.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2015,2015,tonnes,334161.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2001,2001,tonnes,330177.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1965,1965,tonnes,329927.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1992,1992,tonnes,329414.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2011,2011,tonnes,327408.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2018,2018,tonnes,327008.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,1999,1999,tonnes,326479.0,A,Official figure
TCL,Crops and livestock products,246,Finland,5610,Import Quantity,0111,Wheat,1982,1982,tonnes,326253.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1998,1998,tonnes,324690.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),1972,1972,tonnes,323577.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2016,2016,tonnes,322105.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2013,2013,tonnes,318466.0,A,Official figure
TCL,Crops and livestock products,246,Finland,5610,Import Quantity,0111,Wheat,1980,1980,tonnes,318176.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2000,2000,tonnes,317946.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1995,1995,tonnes,317902.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2007,2007,tonnes,317547.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1981,1981,tonnes,317472.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2007,2007,tonnes,317077.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2010,2010,tonnes,316907.0,T,Unofficial figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1997,1997,tonnes,316883.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2011,2011,tonnes,316037.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39120.01,Bran of wheat,2018,2018,tonnes,315118.46,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2017,2017,tonnes,314040.35,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1996,1996,tonnes,311506.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1985,1985,tonnes,311319.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2014,2014,tonnes,307853.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1995,1995,tonnes,307305.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39120.01,Bran of wheat,2021,2021,tonnes,305955.58,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2004,2004,tonnes,305384.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2012,2012,tonnes,304772.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,2001,2001,tonnes,302182.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1980,1980,tonnes,302010.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),1977,1977,tonnes,301242.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),1976,1976,tonnes,300190.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2017,2017,tonnes,297843.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1966,1966,tonnes,297597.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2013,2013,tonnes,297446.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,1993,1993,tonnes,296493.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2015,2015,tonnes,295798.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2019,2019,tonnes,292921.9,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1987,1987,tonnes,292202.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2002,2002,tonnes,291475.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2011,2011,tonnes,291132.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),1973,1973,tonnes,289775.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2010,2010,tonnes,289424.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,1994,1994,tonnes,289250.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2012,2012,tonnes,289000.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2012,2012,tonnes,286653.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,1997,1997,tonnes,284158.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2006,2006,tonnes,284082.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,1995,1995,tonnes,282988.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2008,2008,tonnes,281321.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2003,2003,tonnes,280295.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2011,2011,tonnes,278911.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1994,1994,tonnes,278300.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1985,1985,tonnes,277860.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1984,1984,tonnes,275858.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,1996,1996,tonnes,273715.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1991,1991,tonnes,272553.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2012,2012,tonnes,270836.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,1998,1998,tonnes,265333.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1986,1986,tonnes,265038.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2005,2005,tonnes,264781.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1999,1999,tonnes,263948.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1997,1997,tonnes,263538.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1961,1961,tonnes,262579.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1990,1990,tonnes,261936.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2009,2009,tonnes,261331.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1988,1988,tonnes,261176.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1968,1968,tonnes,260474.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1988,1988,tonnes,260295.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2000,2000,tonnes,259336.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2011,2011,tonnes,259314.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,1983,1983,tonnes,259178.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2008,2008,tonnes,259038.0,T,Unofficial figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39130.04,Gluten feed and meal,1996,1996,tonnes,258561.0,A,Official figure
TCL,Crops and livestock products,246,Finland,5610,Import Quantity,0111,Wheat,1979,1979,tonnes,257089.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2020,2020,tonnes,255103.23,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2014,2014,tonnes,254553.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39120.01,Bran of wheat,1983,1983,tonnes,254443.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,1979,1979,tonnes,253682.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,1994,1994,tonnes,252389.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,23540,Molasses,2000,2000,tonnes,250809.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2008,2008,tonnes,248180.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39120.01,Bran of wheat,2020,2020,tonnes,248059.75,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1975,1975,tonnes,247616.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,1999,1999,tonnes,247479.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39160,Brewing or distilling dregs and waste,2006,2006,tonnes,246435.0,A,Official figure
TCL,Crops and livestock products,246,Finland,5610,Import Quantity,0111,Wheat,1998,1998,tonnes,245679.0,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2006,2006,tonnes,245527.0,T,Unofficial figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2007,2007,tonnes,245499.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2006,2006,tonnes,245420.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,2016,2016,tonnes,244427.46,A,Official figure
TCL,Crops and livestock products,703,Slovakia,5610,Import Quantity,24490,Other non-alcoholic caloric beverages,2007,2007,tonnes,244279.0,T,Unofficial figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0111,Wheat,1996,1996,tonnes,243336.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),1975,1975,tonnes,242729.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,1982,1982,tonnes,242027.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2003,2003,tonnes,239977.0,A,Official figure
