,tweet_raw,sent_raw,tweet_clr,sent_clr,tweet_st,sent_st,tweet_lm,sent_lm
14,"Tory successes:
LOWEST standard of living for THIRTY YEARS 
HIGHEST inflation for FORTY YEARS 
LOWEST pound against the dollar for thirty seven 
LOWEST state pension in Europe
Ruined economy
Ruined global reputation
Corruption
200,000 dead
Lies &amp; Law breaking
Hunger
Poverty https://t.co/KMBvGXtHGu",negative,tory successes lowest standard living thirty years highest inflation forty years lowest pound dollar thirty seven lowest state pension europe ruined economy ruined global reputation corruption dead lies amp law breaking hunger poverty,negative,tori success lowest standard live thirti year highest inflat forti year lowest pound dollar thirti seven lowest state pension europ ruin economi ruin global reput corrupt dead lie amp law break hunger poverti,negative,tory successes low standard living thirty years high inflation forty years low pound dollar thirty seven low state pension europe ruined economy ruined global reputation corruption dead lies amp law breaking hunger poverty,negative
15,"Experts say that EU has problem with structural inflation.

EU has become mostly service economy since Lisabon agreement.

In recent years,we have seen de-globalization trends in the world,and war in Ukraine enhanced that.

Europe has to get back its factories and manufacturing.",positive,experts say eu problem structural inflation eu become mostly service economy since lisabon agreement recent years seen de globalization trends world war ukraine enhanced europe get back factories manufacturing,positive,expert say eu problem structur inflat eu becom mostli servic economi sinc lisabon agreement recent year seen de global trend world war ukrain enhanc europ get back factori manufactur,neutral,experts say eu problem structural inflation eu become mostly service economy since lisabon agreement recent years seen de globalization trends world war ukraine enhanced europe get back factories manufacturing,positive
16,"Euro area annual inflation was 10.1% in November, after 10.6% in October.
#Europe #Inflation",neutral,euro area annual inflation november october europe inflation,neutral,euro area annual inflat novemb octob europ inflat,neutral,euro area annual inflation november october europe inflation,neutral
17,@value_invest12 And 2/3 of the Europe inflation increase was energi related - we will see CPI in free fall soon 💁‍♂️,positive,europe inflation increase energi related see cpi free fall soon,positive,europ inflat increas energi relat see cpi free fall soon,positive,europe inflation increase energi related see cpi free fall soon,positive
18,"South Africa supplies coal to Europe to keep the electricity on over there
Thesame europe pays South Africa to stop using coal resulting in loadshedding and massive job losses and crumbling economy and higher inflation rates
Make it make sense",positive,south africa supplies coal europe keep electricity thesame europe pays south africa stop using coal resulting loadshedding massive job losses crumbling economy higher inflation rates make make sense,positive,south africa suppli coal europ keep electr thesam europ pay south africa stop use coal result loadshed massiv job loss crumbl economi higher inflat rate make make sens,positive,south africa supplies coal europe keep electricity thesame europe pays south africa stop using coal resulting loadshedding massive job losses crumbling economy high inflation rates make make sense,positive
19,@John_Dunne_ @agronomistag Thanks for commenting. The sad reality is that in Africa south of Sahara millions are starving due to an entrenched hostility to modernisation of the farming system sustained by the ideological vendetta against agriculture in Europe,negative,thanks commenting sad reality africa south sahara millions starving due entrenched hostility modernisation farming system sustained ideological vendetta agriculture europe,negative,thank comment sad realiti africa south sahara million starv due entrench hostil modernis farm system sustain ideolog vendetta agricultur europ,negative,thanks commenting sad reality africa south sahara millions starving due entrenched hostility modernisation farming system sustained ideological vendetta agriculture europe,negative
20,"@BLeeForCongress @democracyperson Just a reminder: The Inflation Reduction Act will deindustrialize Western Europe causing hundreds of companies to move from countries like Germany &amp; France to US, cresting massive unemployment during a global recession.

Another reminder: Every Democrat voted for it.",neutral,reminder inflation reduction act deindustrialize western europe causing hundreds companies move countries like germany amp france us cresting massive unemployment global recession another reminder every democrat voted,neutral,remind inflat reduct act deindustri western europ caus hundr compani move countri like germani amp franc us crest massiv unemploy global recess anoth remind everi democrat vote,neutral,reminder inflation reduction act deindustrialize western europe causing hundreds companies move countries like germany amp france us cresting massive unemployment global recession another reminder every democrat voted,neutral
21,"“Aurubis will double its processing capacities at the Georgia location. “Further investment adjustments for infrastructure requirements and inflation were also approved”

Aurubis capex plans include added US capacity - Recycling Today https://t.co/kfwbaHspxB",neutral,aurubis double processing capacities georgia location investment adjustments infrastructure requirements inflation also approved aurubis capex plans include added us capacity recycling today,neutral,aurubi doubl process capac georgia locat invest adjust infrastructur requir inflat also approv aurubi capex plan includ ad us capac recycl today,neutral,aurubis double processing capacities georgia location investment adjustments infrastructure requirements inflation also approved aurubis capex plans include added us capacity recycling today,neutral
22,Spain announces €10 billion package to ease inflation pain bringing total financial aid for 2022 to €45 billion https://t.co/yflr1Q2gFD,neutral,spain announces billion package ease inflation pain bringing total financial aid billion,neutral,spain announc billion packag eas inflat pain bring total financi aid billion,neutral,spain announces billion package ease inflation pain bringing total financial aid billion,neutral
23,@streeknine @DineshDSouza @HouseGOP Inflation here is lower than in Europe and has been declining for the last few months. Did you miss that?,negative,inflation lower europe declining last months miss,neutral,inflat lower europ declin last month miss,neutral,inflation low europe declining last months miss,neutral
24,Inflation in the Baltics: a warning for the rest of Europe https://t.co/Gcg0tmGKsF,neutral,inflation baltics warning rest europe,neutral,inflat baltic warn rest europ,neutral,inflation baltics warning rest europe,neutral
25,"@kinston1952 I look at ""NEWS"" from many different outlets and so far no one is telling the entire truth about this 'inflation'.

We are sitting on enough natural gas and oil to run all of our country and sell it to Europe and South America. When Biden shut that off it all went to hell.",positive,look news many different outlets far one telling entire truth inflation sitting enough natural gas oil run country sell europe south america biden shut went hell,positive,look news mani differ outlet far one tell entir truth inflat sit enough natur ga oil run countri sell europ south america biden shut went hell,positive,look news many different outlets far one telling entire truth inflation sitting enough natural gas oil run country sell europe south america biden shut went hell,positive
26,That requires @RachelReevesMP that you a) you support a return to Europe b) you overrule the Bank of England on interest rates c) support inflation matching pay rises d) remove the threat of austerity. Will you? https://t.co/1mcPJsy7iR,neutral,requires support return europe b overrule bank england interest rates c support inflation matching pay rises remove threat austerity,neutral,requir support return europ b overrul bank england interest rate c support inflat match pay rise remov threat auster,neutral,requires support return europe b overrule bank england interest rates c support inflation matching pay rises remove threat austerity,neutral
27,Inflation in the Baltics: a warning for the rest of Europe https://t.co/RCZhcrzLh5,neutral,inflation baltics warning rest europe,neutral,inflat baltic warn rest europ,neutral,inflation baltics warning rest europe,neutral
28,"German owner METRO AG was not ready to invest in an expansion as they did have the funds to infuse into the Indian market. And then came Russia-Ukraine war, the energy crisis in Europe &amp; inflation. Eventually, the sale happened. The truth!

@metro_india

https://t.co/NmU43W8PPF",negative,german owner metro ag ready invest expansion funds infuse indian market came russia ukraine war energy crisis europe amp inflation eventually sale happened truth,positive,german owner metro ag readi invest expans fund infus indian market came russia ukrain war energi crisi europ amp inflat eventu sale happen truth,neutral,german owner metro ag ready invest expansion funds infuse indian market came russia ukraine war energy crisis europe amp inflation eventually sale happened truth,positive
29,"“The realisation we could have war here is much higher than in countries further away from Russia. Here it’s very vivid,” ⁦says ⁦⁦@SeselgyteM⁩.

Inflation in the #Baltics: a warning for the rest of Europe. 
 https://t.co/3e4RfnfM5q",positive,realisation could war much higher countries away russia vivid says inflation baltics warning rest europe,positive,realis could war much higher countri away russia vivid say inflat baltic warn rest europ,positive,realisation could war much high countries away russia vivid says inflation baltics warning rest europe,positive
30,"@PeterTatchell @zoesqwilliams Actually the EUs inflation was much higher and if Britain was in the EU Britain would have been in a worst position if we were in the EU . Prices went up in Britain because of the inflated European Union . Energy inflation in Europe was 38% inflation 
https://t.co/DZQWFNr1DW",negative,actually eus inflation much higher britain eu britain would worst position eu prices went britain inflated european union energy inflation europe inflation,negative,actual eu inflat much higher britain eu britain would worst posit eu price went britain inflat european union energi inflat europ inflat,negative,actually eus inflation much high britain eu britain would bad position eu prices went britain inflated european union energy inflation europe inflation,negative
31,@zoltanspox The economic problems of hungary are housemade by your goverment. The market lot trust in your abilities because of corruption problems and this caused a forint crash with the consequence of a high imported inflation. Nobody has such a high inflation for food in europe than HU.,positive,economic problems hungary housemade goverment market lot trust abilities corruption problems caused forint crash consequence high imported inflation nobody high inflation food europe hu,positive,econom problem hungari housemad gover market lot trust abil corrupt problem caus forint crash consequ high import inflat nobodi high inflat food europ hu,negative,economic problems hungary housemade goverment market lot trust abilities corruption problems caused forint crash consequence high imported inflation nobody high inflation food europe hu,positive
32,Inflation in the Baltics: a warning for the rest of Europe https://t.co/CDIxBMHorO,neutral,inflation baltics warning rest europe,neutral,inflat baltic warn rest europ,neutral,inflation baltics warning rest europe,neutral
33,"-- VAT scraped .. Read the NEWS right...
--The Spanish government announced several measures to help people cope with inflation. 
@saattooran @drkvm @Lakshmivva1 @Chaintweter 
https://t.co/xT6tOCKt2f",positive,vat scraped read news right spanish government announced several measures help people cope inflation,positive,vat scrape read news right spanish govern announc sever measur help peopl cope inflat,positive,vat scraped read news right spanish government announced several measures help people cope inflation,positive
34,"When my father had his DNA tested recently both the maternal (H13) + paternal lineages (G2A-Z6653) showed as originating from the Caucasus, with the latter being the branch that took agriculture to Europe from Anatolia before they were supplanted by the Indo-Europeans @patyale",neutral,father dna tested recently maternal h paternal lineages g z showed originating caucasus latter branch took agriculture europe anatolia supplanted indo europeans,neutral,father dna test recent matern h patern lineag g z show origin caucasu latter branch took agricultur europ anatolia supplant indo european,neutral,father dna tested recently maternal h paternal lineages g z showed originating caucasus latter branch took agriculture europe anatolia supplanted indo europeans,neutral
35,First time actually I am witnessing that USA and Europe sanctioned Russia just to suffer from Inflation and Food Crisis . Also Making Europe starve for Energy while Russia has almost No Effect or Little Effect From Sanctions ..,positive,first time actually witnessing usa europe sanctioned russia suffer inflation food crisis also making europe starve energy russia almost effect little effect sanctions,positive,first time actual wit usa europ sanction russia suffer inflat food crisi also make europ starv energi russia almost effect littl effect sanction,positive,first time actually witnessing usa europe sanctioned russia suffer inflation food crisis also making europe starve energy russia almost effect little effect sanctions,positive
36,"@MatthewStadlen Yes. But because Labour won’t allow the Tories to get on with it and every time they make a trade agreement Labour get a Union to strike then nothing will be obvious. 
But the price inflation is definitely better than in Europe",positive,yes labour allow tories get every time make trade agreement labour get union strike nothing obvious price inflation definitely better europe,positive,ye labour allow tori get everi time make trade agreement labour get union strike noth obviou price inflat definit better europ,positive,yes labour allow tories get every time make trade agreement labour get union strike nothing obvious price inflation definitely good europe,positive
37,"By and large, Austria's inflation rates are somewhat below those of the euro area and its largest neighbor Germany, which has a similar economic structure.
https://t.co/8k6zv7sqzC

#inflation #austria #euro #eurozone #EU",positive,large austria inflation rates somewhat euro area largest neighbor germany similar economic structure inflation austria euro eurozone eu,positive,larg austria inflat rate somewhat euro area largest neighbor germani similar econom structur inflat austria euro eurozon eu,neutral,large austria inflation rates somewhat euro area large neighbor germany similar economic structure inflation austria euro eurozone eu,positive
38,"Inflation in the Baltics: a warning for the rest of Europe via @FT. [This is the kind of development Putin was counting on. Austerity in the West to lead to disarray. 2023 will be a resting year]
 https://t.co/bELeRNN4ba",positive,inflation baltics warning rest europe via kind development putin counting austerity west lead disarray resting year,positive,inflat baltic warn rest europ via kind develop putin count auster west lead disarray rest year,positive,inflation baltics warning rest europe via kind development putin counting austerity west lead disarray resting year,positive
39,"@MikoCgNFT @TomSton93521872 What nonsense are you talking about, boy? Inflation has reached record levels in Europe despite attempts by Western governments to reduce inflation, such as subsidizing energy bills, but they are not solutions, but rather sedatives for their people,USA leads Europe to collapse",neutral,nonsense talking boy inflation reached record levels europe despite attempts western governments reduce inflation subsidizing energy bills solutions rather sedatives people usa leads europe collapse,neutral,nonsens talk boy inflat reach record level europ despit attempt western govern reduc inflat subsid energi bill solut rather sed peopl usa lead europ collaps,neutral,nonsense talking boy inflation reached record levels europe despite attempts western governments reduce inflation subsidizing energy bills solutions rather sedatives people usa leads europe collapse,neutral
40,"@nogg_the A few things have changed. We gifted the Taliban 80billion$ in weapons, there’s war in Europe, inflation is at a 5 decade high, a dozen eggs is 7$, violent crime and illegal immigration have skyrocketed, and people with 401k’s have lost half of the retirement savings. Yay.",negative,things changed gifted taliban billion weapons war europe inflation decade high dozen eggs violent crime illegal immigration skyrocketed people k lost half retirement savings yay,negative,thing chang gift taliban billion weapon war europ inflat decad high dozen egg violent crime illeg immigr skyrocket peopl k lost half retir save yay,negative,things changed gifted taliban billion weapons war europe inflation decade high dozen eggs violent crime illegal immigration skyrocketed people k lost half retirement savings yay,negative
41,"#Inflation which winged its way in the latter half of ‘22, is ""likely to gradually moderate"", next year, but the slowdown in #globalgrowth due to the energy crisis in #Europe....",negative,inflation winged way latter half likely gradually moderate next year slowdown globalgrowth due energy crisis europe,negative,inflat wing way latter half like gradual moder next year slowdown globalgrowth due energi crisi europ,negative,inflation winged way latter half likely gradually moderate next year slowdown globalgrowth due energy crisis europe,negative
42,"@HexStinna According to Reuters it’s true, https://t.co/u98MouFLfJ bonkers that is!",positive,according reuters true bonkers,positive,accord reuter true bonker,positive,according reuters true bonkers,positive
43,"@ShehabBawazeer2 @TomSton93521872 Do you even live in Europe? Because I dont see any of that 🤣inflation is pretty normal and salaries went up with that, energy bills are much better than in 2008 for example and nothing is collapsing 🤣",positive,even live europe dont see inflation pretty normal salaries went energy bills much better example nothing collapsing,positive,even live europ dont see inflat pretti normal salari went energi bill much better exampl noth collaps,positive,even live europe dont see inflation pretty normal salaries went energy bills much good example nothing collapsing,positive
44,"My 2023 predictions:
* Ukraine will fold but it’s won’t be an easy win for Russia;
* many more multijabbed people aged 30 to 65 will die;
* Europe will struggle with bankruptcies and inflation;
* Russia will struggle with internal turmoil;
* China will do well.",positive,predictions ukraine fold easy win russia many multijabbed people aged die europe struggle bankruptcies inflation russia struggle internal turmoil china well,positive,predict ukrain fold easi win russia mani multijab peopl age die europ struggl bankruptci inflat russia struggl intern turmoil china well,positive,predictions ukraine fold easy win russia many multijabbed people aged die europe struggle bankruptcies inflation russia struggle internal turmoil china well,positive
45,"As inflation continues to worry consumers, the high cost of living remains the top concern in both Europe and the US, while pandemic worries continue to fall. https://t.co/E8nzLEWFM7 https://t.co/VMRZ9mWfK6",positive,inflation continues worry consumers high cost living remains top concern europe us pandemic worries continue fall,positive,inflat continu worri consum high cost live remain top concern europ us pandem worri continu fall,positive,inflation continues worry consumers high cost living remains top concern europe us pandemic worries continue fall,positive
46,"Italian #flour companies will highlight the best in #organic flour at the Winter Fancy Food Show, scheduled Jan. 15-17, 2023, at the Las Vegas Convention Center in Las Vegas, Nevada, US. → https://t.co/B3RX5CEjTp

#agriculture #agribusiness #food #flourmilling #Europe #Italy",positive,italian flour companies highlight best organic flour winter fancy food show scheduled jan las vegas convention center las vegas nevada us agriculture agribusiness food flourmilling europe italy,positive,italian flour compani highlight best organ flour winter fanci food show schedul jan la vega convent center la vega nevada us agricultur agribusi food flourmil europ itali,positive,italian flour companies highlight best organic flour winter fancy food show scheduled jan las vegas convention center las vegas nevada us agriculture agribusiness food flourmilling europe italy,positive
47,@dubsndoo Shall we start with him agreeing to fund the war in #Ukraine with our tax dollars? How dare he scream inflation when he supports one of the most corrupt countries in Europe.,neutral,shall start agreeing fund war ukraine tax dollars dare scream inflation supports one corrupt countries europe,negative,shall start agre fund war ukrain tax dollar dare scream inflat support one corrupt countri europ,negative,shall start agreeing fund war ukraine tax dollars dare scream inflation supports one corrupt countries europe,negative
48,@WhaleCoinTalk What affect Apple is because of the inflation in Europe,neutral,affect apple inflation europe,neutral,affect appl inflat europ,neutral,affect apple inflation europe,neutral
49,Inflation in the Baltics: a warning for the rest of Europe https://t.co/3sddcLJWil,neutral,inflation baltics warning rest europe,neutral,inflat baltic warn rest europ,neutral,inflation baltics warning rest europe,neutral
50,"@brexit_sham I wonder why the whole of Europe is in economic crisis and rampant inflation, as is the USA - worst in 40 years. THEY ALL HAD LOCKDOWNS YOU STUPID FUCKWIT",negative,wonder whole europe economic crisis rampant inflation usa worst years lockdowns stupid fuckwit,negative,wonder whole europ econom crisi rampant inflat usa worst year lockdown stupid fuckwit,negative,wonder whole europe economic crisis rampant inflation usa bad years lockdowns stupid fuckwit,negative
51,"America is leading the world to a Nuclear Disaster after having destroyed Europe's economy a worldwide Famine &amp; Recession &amp; an unprecedentedg hike in Inflation through excessive moneytization &amp; Sanctions against Russia causing a worldwide Energy Crisis

That's the reality https://t.co/lwPlK82QM9",negative,america leading world nuclear disaster destroyed europe economy worldwide famine amp recession amp unprecedentedg hike inflation excessive moneytization amp sanctions russia causing worldwide energy crisis reality,negative,america lead world nuclear disast destroy europ economi worldwid famin amp recess amp unprecedentedg hike inflat excess moneyt amp sanction russia caus worldwid energi crisi realiti,negative,america leading world nuclear disaster destroyed europe economy worldwide famine amp recession amp unprecedentedg hike inflation excessive moneytization amp sanctions russia causing worldwide energy crisis reality,negative
52,"@sydney_trader Gut feeling is inflation won't be contained and interest rates will far surpass expectations. And we'll see an escalation in global war due to either some false flag op in eastern Europe, or something related to Taiwan as both sides prepare for the inevitable.",negative,gut feeling inflation contained interest rates far surpass expectations see escalation global war due either false flag op eastern europe something related taiwan sides prepare inevitable,negative,gut feel inflat contain interest rate far surpass expect see escal global war due either fals flag op eastern europ someth relat taiwan side prepar inevit,negative,gut feeling inflation contained interest rates far surpass expectations see escalation global war due either false flag op eastern europe something related taiwan sides prepare inevitable,negative
53,"London School of Economics researchers found Brexit triggered food price rises by 6% in the two years to the end of 2021. Business investment, dogged by post-Brexit uncertainty, has also flatlined since 2016, compared with EU and US trends.

https://t.co/Nct2kPE5up",neutral,london school economics researchers found brexit triggered food price rises two years end business investment dogged post brexit uncertainty also flatlined since compared eu us trends,neutral,london school econom research found brexit trigger food price rise two year end busi invest dog post brexit uncertainti also flatlin sinc compar eu us trend,neutral,london school economics researchers found brexit triggered food price rises two years end business investment dogged post brexit uncertainty also flatlined since compared eu us trends,neutral
54,"@MikeHudema yet 81% of Netherlands consumption is powered by non-renewable
No developed nation in Europe in their right mind would only be dependent on solar and wind
sacrifice precious agriculture land to solar or wind is just self harm
https://t.co/7SQo9ymgZz",positive,yet netherlands consumption powered non renewable developed nation europe right mind would dependent solar wind sacrifice precious agriculture land solar wind self harm,positive,yet netherland consumpt power non renew develop nation europ right mind would depend solar wind sacrific preciou agricultur land solar wind self harm,positive,yet netherlands consumption powered non renewable developed nation europe right mind would dependent solar wind sacrifice precious agriculture land solar wind self harm,positive
55,"The release of the Summer Ferry Timetable has been put back until January!

Wise Editorial decision? Maybe for the Oban Times, but.....

Must be a slow news week, what with strikes, collapsing economy, rampant inflation, barbaric wars on Europe's frontiers etc. https://t.co/EEnLObOIgm",positive,release summer ferry timetable put back january wise editorial decision maybe oban times must slow news week strikes collapsing economy rampant inflation barbaric wars europe frontiers etc,positive,releas summer ferri timet put back januari wise editori decis mayb oban time must slow news week strike collaps economi rampant inflat barbar war europ frontier etc,positive,release summer ferry timetable put back january wise editorial decision maybe oban times must slow news week strikes collapsing economy rampant inflation barbaric wars europe frontiers etc,positive
56,"Western gov't response to #UkraineRussiaWar, has weakened their own economies, driven up inflation, create energy shortages, return to wood burning for heat, and coal fired electricity production in Europe. The Deindustrialization of the EU, &amp; higher costs of living for us all.",positive,western gov response ukrainerussiawar weakened economies driven inflation create energy shortages return wood burning heat coal fired electricity production europe deindustrialization eu amp higher costs living us,positive,western gov respons ukrainerussiawar weaken economi driven inflat creat energi shortag return wood burn heat coal fire electr product europ deindustri eu amp higher cost live us,positive,western gov response ukrainerussiawar weakened economies driven inflation create energy shortages return wood burning heat coal fired electricity production europe deindustrialization eu amp high costs living us,positive
57,"@Chinmay2000fore @WallStreetSilv And all the appocaliptical prediction pushed by the Kremlin and its useful idiots... hu... lol?

We heard that for months. ""Europe will freeze, Europe economy crashes, no more jobs and industry.""

Well... Not at all!

Inflation, yes. That's all, and less strong than in Russia.",positive,appocaliptical prediction pushed kremlin useful idiots hu lol heard months europe freeze europe economy crashes jobs industry well inflation yes less strong russia,positive,appocalipt predict push kremlin use idiot hu lol heard month europ freez europ economi crash job industri well inflat ye less strong russia,positive,appocaliptical prediction pushed kremlin useful idiots hu lol heard months europe freeze europe economy crashes jobs industry well inflation yes less strong russia,positive
58,Inflation in the Baltics: a warning for the rest of Europe 🇪🇺 | Financial Times https://t.co/ga8IyYbzX0,neutral,inflation baltics warning rest europe financial times,neutral,inflat baltic warn rest europ financi time,neutral,inflation baltics warning rest europe financial times,neutral
59,"I look at ""NEWS"" from many different outlets and so far no one is telling the entire truth about this 'inflation'.

We are sitting on enough natural gas and oil to run all of our country and sell it to Europe and South America. When Biden shut that off it all went to hell. https://t.co/uOBbi3rZum",positive,look news many different outlets far one telling entire truth inflation sitting enough natural gas oil run country sell europe south america biden shut went hell,positive,look news mani differ outlet far one tell entir truth inflat sit enough natur ga oil run countri sell europ south america biden shut went hell,positive,look news many different outlets far one telling entire truth inflation sitting enough natural gas oil run country sell europe south america biden shut went hell,positive
60,"@atrupar @joncoopertweets 40 year high inflation, border chaos, record crime rates, record drug overdoses, record Covid deaths in 2021, Afghanistan humiliation, and war in Europe. He's the worst President of my life time by far. ❤️🇺🇸",negative,year high inflation border chaos record crime rates record drug overdoses record covid deaths afghanistan humiliation war europe worst president life time far,negative,year high inflat border chao record crime rate record drug overdos record covid death afghanistan humili war europ worst presid life time far,negative,year high inflation border chaos record crime rates record drug overdoses record covid deaths afghanistan humiliation war europe bad president life time far,negative
